formula,bg,fidelity,bg_category
Nb3CuO8,1.47,6,2.0
Eu(LuSe2)2,1.7,6,3.0
Ba2GdGaSe5,1.87,6,3.0
USbSe,0.0,6,0.0
Li2FeGeS4,1.42,6,2.0
TiS3,0.9,6,1.0
Tm(FeSi)2,0.0,6,0.0
MnSbPd,0.0,6,0.0
YZnBiO4,1.58,6,2.0
Si0.12Ge0.88,0.84,6,1.0
Cs2Hg(ICl)2,2.15,6,3.0
SmNiAs,0.0,6,0.0
Li3Ni2(GeO4)3,0.0,6,0.0
LiY2Ru,0.0,6,0.0
RbBi3TeSe4,0.8,6,1.0
Lu2O3,5.5,6,7.0
Y(FeSi)2,0.0,6,0.0
TlGaS2,3.4,6,6.0
HoAlB14,0.0,6,0.0
GaP,2.74,6,4.0
Ga2SnGeS6,2.04,6,3.0
KIn(TeO3)2,4.0,6,7.0
HfSe2,2.2,6,3.0
Ca5Sb3,0.0,6,0.0
BaTi4O8,0.0,6,0.0
Bi12PO20,3.25,6,5.0
Al2Cr2O7,0.0,6,0.0
Mg5B3O9F,5.63,6,7.0
Sr2GaCo2O7,0.0,6,0.0
Cs2Ba3(P2O7)2,6.31,6,7.0
Zn0.94Hg0.06Te1,2.03,6,3.0
DyRh,0.0,6,0.0
CdP4PbO12,4.85,6,7.0
Ce4InSbSe9,1.69,6,2.0
NiAsO3,0.0,6,0.0
LiThAu2,0.0,6,0.0
Ce(MnSi)2,0.0,6,0.0
SbOsS,1.2,6,2.0
Lu2InHg,0.0,6,0.0
Al0.3In0.7P1,1.9,6,3.0
CsCd4In5Te12,1.42,6,2.0
Al0.6In0.4P1,2.3,6,4.0
KPSe3,2.08,6,3.0
K4GeSe4,0.64,6,1.0
LaB6,4.1,6,7.0
CuBi(PSe3)2,1.2,6,2.0
CdAsPd5,0.0,6,0.0
SmAg,0.0,6,0.0
Zn0.2Ga0.8Sb0.8Te0.2,1.15,6,2.0
Mg4Sc3(SiO3)8,0.0,6,0.0
Be12Pt,0.0,6,0.0
NdF3,6.15,6,7.0
Bi1.4Sb0.6Te3,0.17,6,0.0
Tm2In,0.0,6,0.0
Co2Te3O8,3.6,6,6.0
SrLa3MnO8,0.0,6,0.0
Bi2CO5,3.42,6,6.0
Cd0.204Hg0.796Te1,0.06,6,0.0
Li8PO3,0.0,6,0.0
Dy2(GePt3)3,0.0,6,0.0
Eu(InSe2)2,1.31,6,2.0
ThAl3,0.0,6,0.0
Ba2SmCu3O7,0.0,6,0.0
Nd(Al4Co)2,0.0,6,0.0
Sm4GaSbS9,2.23,6,3.0
CeTl3,0.0,6,0.0
TbZrSb,0.0,6,0.0
Tb2EuSe4,2.0,6,3.0
Te4MoW3S4,0.0,6,0.0
ScAlNi2,0.0,6,0.0
TmSnRu2,0.0,6,0.0
Rb2Cd(PSe3)2,2.58,6,4.0
PtN,0.0,6,0.0
Rb2Sn3(SbS5)2,2.33,6,4.0
POsS,1.4,6,2.0
AlCoO3,0.0,6,0.0
Ce(AlZn)2,0.0,6,0.0
NaLa2TaO6,4.5,6,7.0
Pr4Sb3,0.0,6,0.0
ZrPd3,0.0,6,0.0
CaYbInSe4,0.0,6,0.0
BaZnSiSe4,2.71,6,4.0
Y(CuSe)3,0.88,6,1.0
Li2EuSn,0.0,6,0.0
Yb3Sn13Rh4,0.0,6,0.0
CuBiSO,1.07,6,1.0
BPb2ClO3,3.99,6,7.0
Sm2S3,2.96,6,5.0
Al0.4Ga0.6P1,2.35,6,4.0
Ce3Ta(ClO2)3,0.0,6,0.0
B4W,0.0,6,0.0
CaPrZn2,0.0,6,0.0
Sb6Pb4Se13,0.65,6,1.0
AsSeBr,0.0,6,0.0
LiSbS2,1.36,6,2.0
LiIn(IO3)4,4.27,6,7.0
V12P7,0.0,6,0.0
K2MnSnSe4,1.7,6,3.0
Ta6Be15Cu8,0.0,6,0.0
Ge40Te5.3I8,0.8,6,1.0
CoAsS,0.6,6,1.0
Ga1.01Sb0.99Se0.03,0.62,6,1.0
Ba3B1.5Sb0.5S6,3.01,6,5.0
Pr(BRu)2,0.0,6,0.0
Mg5Ti13O30,0.0,6,0.0
In0.9Ga0.1As0.9P0.1,0.45,6,0.0
Li2PrP2,0.0,6,0.0
Zn(GaSe2)2,1.72,6,3.0
Na5Fe6(SiO3)12,0.0,6,0.0
RbAg2TeS6,2.04,6,3.0
SmP,1.09,6,1.0
SrIn4Pt,0.0,6,0.0
Dy4GaSbS9,2.58,6,4.0
B2O3,4.89,6,7.0
Nd4(GeS4)3,2.62,6,4.0
Li5Mn3(FeO5)2,0.0,6,0.0
Li5Mn5(SbO6)2,0.0,6,0.0
RbSbSe2,1.62,6,2.0
Na19Zr11S30,0.0,6,0.0
LiAlRh2,0.0,6,0.0
Y3Al3NiGe2,0.0,6,0.0
Eu(HoSe2)2,1.8,6,3.0
KHg2,0.0,6,0.0
Zr3Al2,0.0,6,0.0
RbCu2SbS3,1.67,6,2.0
Ca3N2,1.55,6,2.0
Th2Se5,0.37,6,0.0
Tm5Ti5O17,0.0,6,0.0
YbPmPt2,0.0,6,0.0
PPdS,1.38,6,2.0
Ga2Si(AgS3)2,2.35,6,4.0
Li2TeMoO6,3.5,6,6.0
BTe2As,0.0,6,0.0
LaP,0.54,6,0.0
Tm2Ru2O7,0.0,6,0.0
SmCo3B2,0.0,6,0.0
SrAl,0.0,6,0.0
Li4Mn3Cr3O12,0.0,6,0.0
CaHg2,0.0,6,0.0
Cr(MoS2)2,0.0,6,0.0
Sn5(BIr3)2,0.0,6,0.0
U5Ge3,0.0,6,0.0
Sr3Li4La5O12,0.0,6,0.0
SbPb2S2I3,2.0,6,3.0
YMg4Cu,0.0,6,0.0
In1.1Cu0.9Se2.1,1.06,6,1.0
SrTe,3.73,6,6.0
CsDy9(Cd2Se9)2,1.99,6,3.0
Zn0.75Hg0.25Se1,1.4,6,2.0
LiH3(SeO3)2,4.9,6,7.0
CeIr5,0.0,6,0.0
Li2PmGe,0.0,6,0.0
Cr2CuS4,0.0,6,0.0
Cd0.07In0.93Te0.07As0.93,0.68,6,1.0
AgBiPbS3,1.2,6,2.0
Tb2O3,3.0,6,5.0
Nd(PRu)2,0.0,6,0.0
SmSi3Pt5,0.0,6,0.0
NaLi3,0.0,6,0.0
Tb2AlCo2,0.0,6,0.0
HoGeAu,0.0,6,0.0
Na2Pt(IO3)6,2.4,6,4.0
K2Se,1.8,6,3.0
HgBr,2.6,6,4.0
AgPdO2,0.0,6,0.0
RbInSnS4,2.7,6,4.0
Tl(WO3)3,0.0,6,0.0
HfTl3,0.0,6,0.0
La3ZrSb5,0.0,6,0.0
Sm3Al,0.0,6,0.0
Sr3ScNiO6,0.0,6,0.0
HoTh3,0.0,6,0.0
Na2Cl,0.0,6,0.0
SmBPd3,0.0,6,0.0
Rh7(PbO5)3,0.0,6,0.0
Ba2DyGaSe5,2.35,6,4.0
Nd(AsPd)2,0.0,6,0.0
Tb(InS2)3,1.2,6,2.0
In1Ga1Cu1S3.5,1.84,6,3.0
YbNdAg2,0.0,6,0.0
Mg2GeSe4,2.02,6,3.0
InHgW2,0.0,6,0.0
Ba3Ta2ZnO9,4.32,6,7.0
Ca2CdAs2,0.95,6,1.0
K2Hg3Se2.97S1.03,2.11,6,3.0
MnAlAu2,0.0,6,0.0
Fe9Co7,0.0,6,0.0
Ga1.9Cu0.1S2.9,2.6,6,4.0
Ba5Ge3,0.0,6,0.0
Ca(GdS2)2,2.55,6,4.0
Dy2(MoO4)3,1.92,6,3.0
CsInI3,0.0,6,0.0
Hf2Fe,0.0,6,0.0
FeRhO3,0.0,6,0.0
Tl2PAuS4,2.2,6,3.0
EuSb4S7,0.98,6,1.0
Yb(Ga4Co)2,0.0,6,0.0
K2NbCuSe4,2.14,6,3.0
Y3Ge4,0.0,6,0.0
Cu11Sb4S13,0.0,6,0.0
InAg3,0.0,6,0.0
CsIrO3,0.0,6,0.0
TaW3,0.0,6,0.0
LaIn,0.0,6,0.0
Mg5Tl2,0.0,6,0.0
La(InS2)3,1.03,6,1.0
Ca(TiS2)4,0.0,6,0.0
Li2(NiO2)3,0.0,6,0.0
UGa2,0.0,6,0.0
LuScZn2,0.0,6,0.0
SmCuSi,0.0,6,0.0
MnSe,2.5,6,4.0
FeAs2O7,0.0,6,0.0
Co2Ge,0.0,6,0.0
Cd1Se0.2S0.8,2.23,6,3.0
ThAl,0.0,6,0.0
Pr(CoGe)2,0.0,6,0.0
Na2Mo2Se2O11,3.1,6,5.0
Li3AlTe4O11,3.63,6,6.0
Ba3Gd2(PS4)4,3.41,6,6.0
LiAl2Rh,0.0,6,0.0
Th3B2C3,0.0,6,0.0
Sm(ErSe2)3,2.0,6,3.0
SrTh(PS4)2,3.02,6,5.0
Cu4As2O9,0.0,6,0.0
Cd2AgRh,0.0,6,0.0
Rb2TeI6,1.4,6,2.0
U3Se4,0.0,6,0.0
MgSc,0.0,6,0.0
As2Os,0.9,6,1.0
MgAgAs,0.0,6,0.0
SrAg,0.0,6,0.0
Na2TeS3,2.35,6,4.0
HgOsPb2,0.0,6,0.0
KHg11,0.0,6,0.0
Yb(InS2)3,1.31,6,2.0
Lu7(NiTe)2,0.0,6,0.0
Tl0.01Te1Pb0.99,0.59,6,1.0
Yb(SiAg)2,0.0,6,0.0
TmMg2Sc,0.0,6,0.0
AsPRu,0.8,6,1.0
Na3Tl,0.0,6,0.0
SrSe,4.42,6,7.0
Ag9Ge2IO8,0.0,6,0.0
Ga2Se2O7,4.61,6,7.0
Sm3(Sb7Te12)2,0.0,6,0.0
AlIr,0.0,6,0.0
K2Ce(PO4)2,2.46,6,4.0
CoAsRh,0.0,6,0.0
Na7.36Ga7.24Sn4.78Se24,1.5,6,2.0
Rb3Sb2I9,1.94,6,3.0
K3Sm(AsS4)2,2.2,6,3.0
Li4Cr3NiO8,0.0,6,0.0
NaSbTe2,0.47,6,0.0
TmMnGe,0.0,6,0.0
K6Cd4Sn3Se13,2.33,6,4.0
CsPPbO4,4.39,6,7.0
Eu(GaTe2)2,1.7,6,3.0
Li4Fe7(OF7)2,0.0,6,0.0
Pb1Se0.95S0.05,0.26,6,0.0
LiMgSnPd,0.0,6,0.0
SiB3,2.0,6,3.0
CsPSe6,1.9,6,3.0
UAl3,0.0,6,0.0
U4S3,0.0,6,0.0
Y3(Fe31B7)2,0.0,6,0.0
ZnTc,2.37,6,4.0
Cd8B5O15F,3.14,6,5.0
Ba3Ta5NO14,2.8,6,4.0
VSb,0.0,6,0.0
Cs2MgSn3Se8,1.92,6,3.0
PrSb,0.66,6,1.0
NdMoO4F,3.66,6,6.0
FePS,0.25,6,0.0
TaCu3S4,3.0,6,5.0
Zn0.7Ga0.3As0.3Se0.7,1.93,6,3.0
Mn(CoO2)4,0.0,6,0.0
UCo4Sn,0.0,6,0.0
Pb3Se2(BrO3)2,3.73,6,6.0
Ga0.95Hg0.05Sb0.95Te0.05,0.69,6,1.0
SrTlHg2,0.0,6,0.0
Dy(InS2)3,1.22,6,2.0
Re3As7,0.0,6,0.0
BeCu,0.0,6,0.0
VTc,0.0,6,0.0
KAgAsS2,2.21,6,3.0
Li2Co4O7F,0.0,6,0.0
Ta4AlC3,0.0,6,0.0
Tl0.001Te1Pb0.999,0.3,6,0.0
EuTl,0.0,6,0.0
Mg2Zr14O5,0.0,6,0.0
HoTiGe,0.0,6,0.0
Tb3(MnC3)2,0.0,6,0.0
V2Si2O7,0.0,6,0.0
K2Ge3(BO5)2,5.38,6,7.0
SnI4,2.38,6,4.0
Nd2Se3,1.7,6,3.0
PrGeAu,0.0,6,0.0
DyB2Rh2C,0.0,6,0.0
Pr2S3,2.6,6,4.0
Cs3Bi2I9,1.8,6,3.0
Cr2HO4,0.0,6,0.0
Na2VCuF7,0.0,6,0.0
Ba5Al2Ge7,0.0,6,0.0
Nd4Mg3Co2,0.0,6,0.0
In1Sb0.5As0.5,0.1,6,0.0
Zn3.5Ga1Sn0.5O6,2.99,6,5.0
Ag2Mo(I2O7)2,3.06,6,5.0
Cu4Pd,0.0,6,0.0
CaZnSO,3.7,6,6.0
Fe10O9F11,0.0,6,0.0
Sc2(PO4)3,0.0,6,0.0
Ca(GeRh)2,0.0,6,0.0
Ga1As0.4P0.6,2.1,6,3.0
Mg17Al11Pd,0.0,6,0.0
Li3FeS3,0.0,6,0.0
ThRu3C,0.0,6,0.0
Ca(LaS2)2,2.7,6,4.0
Ba2GaBiTe5,1.43,6,2.0
UP2S9,1.41,6,2.0
Dy2AlCo2,0.0,6,0.0
Y(SiRh)2,0.0,6,0.0
Cr(FeSe2)2,0.0,6,0.0
SiHg3,0.0,6,0.0
NdGaO3,0.0,6,0.0
YbGeRh,0.0,6,0.0
Tm2ZnHg,0.0,6,0.0
EuB(SbO4)2,3.46,6,6.0
Sn0.01Te1Pb0.99,0.23,6,0.0
BaTh3,0.0,6,0.0
RbV(CuS2)2,1.45,6,2.0
Mg3N2,2.8,6,4.0
RuCl3,0.0,6,0.0
Na2TeSe3,1.87,6,3.0
Cd2InCuTe4,0.85,6,1.0
AlV(TeO4)2,2.9,6,5.0
SmTh3,0.0,6,0.0
Zr2Te,0.0,6,0.0
Bi2Te2.97Se0.03,0.15,6,0.0
La3Te4,0.43,6,0.0
Lu5(Si5Ir2)2,0.0,6,0.0
Ce2Ti2O7,0.0,6,0.0
La4Co3O10,0.0,6,0.0
LiMnP2O7,0.0,6,0.0
Cs2P2PdSe6,1.6,6,2.0
YbCuGe,0.0,6,0.0
Ba5In4Te4S7,2.13,6,3.0
Ba(InS2)2,3.06,6,5.0
PrAl3Ni2,0.0,6,0.0
V3Ag,0.0,6,0.0
Si0.9Ge0.1,1.04,6,1.0
Sc(CuSe)3,0.3,6,0.0
Rb2Mo9Se10,0.0,6,0.0
Sm3Te4,0.51,6,0.0
BiSe,0.4,6,0.0
CaZn2,0.0,6,0.0
TmH2,0.0,6,0.0
Li3Mn(CuO3)2,0.0,6,0.0
Sn0.1Te1Pb0.9,0.16,6,0.0
AlSn,0.0,6,0.0
EuSe,3.1,6,5.0
Ba2SmInTe5,1.36,6,2.0
KGaSnSe4,1.73,6,3.0
MgCuSb,0.0,6,0.0
Na2Ge2Se5,2.38,6,4.0
Li2GaPd,0.0,6,0.0
KCuPO4,0.0,6,0.0
Lu3BC3,0.0,6,0.0
Ba5(Ga2Se5)2,2.2,6,3.0
Bi2Te0.03Se2.97,0.27,6,0.0
CsBi2,0.55,6,0.0
CdAuO2,0.0,6,0.0
CsLi(B3O5)2,6.89,6,7.0
LaH2NO5,4.76,6,7.0
Eu(SbSe2)2,0.95,6,1.0
Li3Mn2CuO6,0.0,6,0.0
Al2(CuSe2)3,0.0,6,0.0
In0.07Te1Pb0.93,0.32,6,0.0
Rb2Mo3Se3O16,3.1,6,5.0
Tm2ZnAg,0.0,6,0.0
Cr2GeC,0.0,6,0.0
Tb2Sb5,0.0,6,0.0
HoCu4Pd,0.0,6,0.0
Fe4H15(IO8)3,2.3,6,4.0
Cs2SCl6F,0.0,6,0.0
Mn2CoAs,0.0,6,0.0
Cu6PbO8,0.0,6,0.0
CdCu2SnSe4,0.96,6,1.0
ErB6,3.5,6,6.0
Sr2CoReO6,0.0,6,0.0
NdCu3(RuO3)4,0.0,6,0.0
Yb(IO3)3,0.0,6,0.0
ZrHg4(PCl3)2,3.22,6,5.0
Na2S,2.4,6,4.0
Li13Nb14ZnO42,0.0,6,0.0
Sm2TlHg,0.0,6,0.0
VAg2I3O11,2.16,6,3.0
Ga4Cu2Te7,1.08,6,1.0
Ba4Ga5AgS12,2.52,6,4.0
Mn3SbO8,0.0,6,0.0
SrRhF6,0.0,6,0.0
La2Ge5Rh3,0.0,6,0.0
NbCuO3,2.0,6,3.0
LiLa2IrO6,0.0,6,0.0
Dy12Co7,0.0,6,0.0
CeAl2Pt3,0.0,6,0.0
Co3H,0.0,6,0.0
U3Nb,0.0,6,0.0
Li3Fe(CoO2)4,0.0,6,0.0
Zn5.5Ga1Sn0.5O8,2.99,6,5.0
Tb(Ni2P)2,0.0,6,0.0
HgBrCl,3.4,6,6.0
Na2In4Se6S,1.92,6,3.0
LuAg2,0.0,6,0.0
Sm2AlCd,0.0,6,0.0
LaAl12O19,0.0,6,0.0
VB2,0.0,6,0.0
Nd(Re2Si)2,0.0,6,0.0
SmNiC2,0.0,6,0.0
In0.8Ga0.2As1,0.5,6,0.0
InFe2CuSe4,0.0,6,0.0
CaIn2Ir,0.0,6,0.0
Li4Mn5NbO12,0.0,6,0.0
LiYbPb,0.0,6,0.0
LuPt3,0.0,6,0.0
La2V2IO9,3.63,6,6.0
HgPt3,0.0,6,0.0
GdCd4B3O10,3.8,6,6.0
SrIn2Ir,0.0,6,0.0
Lu2CdAg,0.0,6,0.0
Nd3(GeRu)2,0.0,6,0.0
FeBi(SeO3)3,2.54,6,4.0
Fe3B,0.0,6,0.0
LaRe2Ag,0.0,6,0.0
Sr2V2(SeO5)3,2.96,6,5.0
AsS,2.4,6,4.0
Ga0.9Hg0.1Sb0.9Te0.1,0.65,6,1.0
Gd(NiGe)2,0.0,6,0.0
K2Au(IO3)5,2.65,6,4.0
Ti2B,0.0,6,0.0
Cs2NbCuSe4,2.19,6,3.0
BaHgS2,1.93,6,3.0
U(BH4)4,0.0,6,0.0
Tb3Ge5,0.0,6,0.0
NdAgAs2,0.0,6,0.0
Cd(In15Te23)2,1.17,6,2.0
TbGa3,0.0,6,0.0
Bi4Pb7Se13,0.29,6,0.0
Sb3IO4,2.61,6,4.0
SrPb3,0.0,6,0.0
Sc2FeB2Ir5,0.0,6,0.0
YB66,0.8,6,1.0
LuSi2Ni,0.0,6,0.0
Rh2S3,0.8,6,1.0
Te0.8Se0.2,0.4,6,0.0
GdSb,0.0,6,0.0
Ga1Sb0.99As0.01,1.37,6,2.0
Cd3Bi(PO4)3,3.9,6,6.0
K2Al2B2O7,6.89,6,7.0
Hg3As,0.0,6,0.0
Ga1.01Sb0.99Te0.03,0.68,6,1.0
In2GeTe3,0.68,6,1.0
Hf3(CuSi)4,0.0,6,0.0
Pb1Se0.99S0.01,0.26,6,0.0
Na2Zn3(SeO3)4,4.9,6,7.0
LaTaN2O,2.0,6,3.0
BePd2,0.0,6,0.0
BaGe4(RhSe3)2,1.09,6,1.0
ZnSnO3,3.9,6,6.0
NdSn2,0.0,6,0.0
Li4TiCr3O8,0.0,6,0.0
CsRb(PSe4)2,2.41,6,4.0
Dy(Al2Cu)4,0.0,6,0.0
SbTeRh,0.5,6,0.0
Cd0.01Ga0.99Sb0.99Te0.01,0.72,6,1.0
Cu3Pd,0.0,6,0.0
GdSe2,0.0,6,0.0
BeO,10.39,6,7.0
LiCd2Rh,0.0,6,0.0
DyInPt2,0.0,6,0.0
Al2CrS4,0.0,6,0.0
Ce3Pd5,0.0,6,0.0
CoP2,0.35,6,0.0
Na3(WO3)4,0.0,6,0.0
LiCu2(CO3)2,0.0,6,0.0
Er(SiPd)2,0.0,6,0.0
MgScAg2,0.0,6,0.0
ErTlPd,0.0,6,0.0
LiYbF4,0.0,6,0.0
La2YbCuSe5,1.15,6,2.0
Mg2PdAu,0.0,6,0.0
LiAsS2,1.6,6,2.0
Fe3Si,0.0,6,0.0
BaMn4O7,0.0,6,0.0
Na2Cd(GeSe3)2,2.37,6,4.0
NiS2,0.64,6,1.0
ZrC,0.6,6,1.0
Sr3Co2S2O5,0.0,6,0.0
TlTeP,0.3,6,0.0
Li2SiHgS4,2.68,6,4.0
Gd(CuTe)3,0.52,6,0.0
UHg3(TeCl3)2,2.6,6,4.0
SrMgIn3,0.0,6,0.0
HoGe,0.0,6,0.0
Nd3AlC,0.0,6,0.0
Gd1Mn1.95In1.05S5,1.66,6,2.0
Yb14Ti10O41,0.0,6,0.0
HoAlAu2,0.0,6,0.0
Lu2Mo2C3,0.0,6,0.0
Ti4ZnO8,0.0,6,0.0
K10Sn3(PSe3)8,1.82,6,3.0
KCl,8.5,6,7.0
PrBN2,4.0,6,7.0
Li2MnGeS4,3.06,6,5.0
FeAgSe2,0.23,6,0.0
Rb3Zn(BO2)5,2.66,6,4.0
Ca(Al4Co)2,0.0,6,0.0
AlB2,0.0,6,0.0
UGa5Ir,0.0,6,0.0
Hf5Te4,0.0,6,0.0
InSb2Se4Br,1.35,6,2.0
Ho2Pd2Pb,0.0,6,0.0
CuCN2,0.0,6,0.0
GaAgGeS4,3.0,6,5.0
Na2Ti2Sb2O,0.0,6,0.0
In1Sb0.01As0.99,0.17,6,0.0
USeS,0.0,6,0.0
Nd2IrPd,0.0,6,0.0
Mg(FeO2)4,0.0,6,0.0
YVTeO10,2.2,6,3.0
KInSe2,2.68,6,4.0
Pr4InSbSe9,1.89,6,3.0
InBi2Se4Br,1.21,6,2.0
P2Pd,0.65,6,1.0
MgSbPt,0.0,6,0.0
Ta6Ni16Ge7,0.0,6,0.0
NdSmHg2,0.0,6,0.0
Cs2Sn(PSe3)2,2.06,6,3.0
Eu3Bi4S9,1.18,6,2.0
Ca3Au4,0.0,6,0.0
BiO,0.0,6,0.0
Gd6Ta4Al43,0.0,6,0.0
BeTe,2.89,6,5.0
PrInAu2,0.0,6,0.0
MnFeAs,0.0,6,0.0
Y2S3,2.9,6,5.0
Ba2GdGaTe5,1.12,6,1.0
CsAu,2.3,6,4.0
Zr6Al2CoH10,0.0,6,0.0
Ga1.05Sb0.95Se0.15,0.66,6,1.0
Cu3Bi6S10I,0.72,6,1.0
Er(CrSi)2,0.0,6,0.0
Sm2TlZn,0.0,6,0.0
DyNiGe2,0.0,6,0.0
Na2In2SiS6,3.27,6,5.0
BiPbClO2,2.45,6,4.0
KAg2,0.0,6,0.0
In1.99Cu0.01Se2.99,1.45,6,2.0
Li3Co2(GeO4)3,0.0,6,0.0
ScRh3C,0.0,6,0.0
VZnRu2,0.0,6,0.0
In0.99Ga0.01As0.99P0.01,0.3,6,0.0
La3(ReO5)2,0.0,6,0.0
Zr2CuS4,0.0,6,0.0
Si0.0645Ge0.9355,1.04,6,1.0
BiBPbO4,3.2,6,5.0
Cu1.8S1,2.3,6,4.0
K8N3O,0.0,6,0.0
Yb3V,0.0,6,0.0
Ba2In2S5,2.47,6,4.0
Ca3BiAs,0.0,6,0.0
Bi4I,0.0,6,0.0
NdTe2,0.48,6,0.0
K2Sn3(SbS5)2,2.3,6,4.0
Zn0.9Ga0.1P0.1Se0.9,2.3,6,4.0
AgAu3,0.0,6,0.0
Ga1.5Cu0.5Se2.5,1.76,6,3.0
Na4Al4Si19,0.64,6,1.0
Ce(PPt2)2,0.0,6,0.0
Bi2SI2O11,3.74,6,6.0
CsGaSnSe4,1.97,6,3.0
Sn2BiSI5,1.32,6,2.0
CsK(PSe4)2,2.36,6,4.0
RbF3,0.0,6,0.0
Sr3Sb2,0.0,6,0.0
CsHo9(Cd2Se9)2,2.06,6,3.0
Ba(SnO2)4,0.0,6,0.0
ZrRh,0.0,6,0.0
TmThRu2,0.0,6,0.0
GdH2NO5,4.84,6,7.0
CaZn5,0.0,6,0.0
Cs3As,0.6,6,1.0
Ga5Pd13,0.0,6,0.0
Ce5Si3,0.0,6,0.0
Ca(BIr)2,0.0,6,0.0
TmGe,0.0,6,0.0
Na3WClO4,4.99,6,7.0
CsTm9(Cd2Se9)2,2.16,6,3.0
Dy(GeRu)2,0.0,6,0.0
KSnAuSe3,2.28,6,4.0
LiCu3F7,0.0,6,0.0
Pm3I,0.0,6,0.0
ErNi4B,0.0,6,0.0
LiTmSn,0.0,6,0.0
Hf2Ni,0.0,6,0.0
K2In2P3Se10,2.2,6,3.0
Si0.94Ge0.06,1.06,6,1.0
CsGa(SnSe3)2,1.87,6,3.0
Ce3In3Ru2,0.0,6,0.0
Ba2LiFe2N3,0.0,6,0.0
Ho(SiPd)2,0.0,6,0.0
Th6Mg23,0.0,6,0.0
Tl2BiP2S7,1.8,6,3.0
Mn2Tl2O7,0.0,6,0.0
Ge0.1Pb0.9Se1,0.3,6,0.0
Ba5Ga6SnP12,1.21,6,2.0
Sb5IO7,1.95,6,3.0
Zr1.86Cu1S4,1.26,6,2.0
Li2MgIn,0.0,6,0.0
Li2V3CrO8,0.0,6,0.0
PbSeO4,4.3,6,7.0
CsCd4In5Se12,1.62,6,2.0
Ni2PO5,0.0,6,0.0
Cu2OF2,0.0,6,0.0
Zn0.8Hg0.2Se1,1.4,6,2.0
Te0.5Se0.5,1.0,6,1.0
Er2Te3,0.9,6,1.0
SiAu3,0.0,6,0.0
Ba7B3O9F5,4.94,6,7.0
CsCdBO3,2.58,6,4.0
GeP,0.95,6,1.0
Ho(BiO3)2,0.0,6,0.0
SmC10,0.0,6,0.0
In2HgSe4,0.6,6,1.0
ReCl4,0.0,6,0.0
Zn(FeN)2,0.0,6,0.0
Eu(SbS2)2,1.2,6,2.0
