mpid,formula,BG,fidelity,bg_category
mp-23199,BaCl2,9.0,2,6.0
mp-28011,Tl2Sn2S3,1.81,2,1.0
mp-11980,CsNbF6,8.03,2,5.0
mp-552806,BaBiClO2,5.48,2,3.0
mp-15395,CsBePO4,9.27,2,6.0
mp-23126,KAs4IO6,4.2,2,2.0
mp-8291,BaTiF6,7.46,2,5.0
mp-6215,AgHgAsS3,2.15,2,1.0
mp-7639,Na2CuP,2.14,2,1.0
mp-18414,BaLa2BeO5,7.03,2,5.0
mp-31014,ZrP2S7,3.15,2,2.0
mp-9720,Rb3BP2,3.98,2,2.0
mp-8963,Cs2HgF4,4.55,2,3.0
mp-16608,Si3Os2,1.09,2,0.0
mp-18862,La2CoIrO6,0.876,2,0.0
mp-19662,BaCrO4,3.96,2,2.0
mp-27691,K2PtBr6,2.21,2,1.0
mp-7444,RbSb,1.4,2,0.0
mp-17854,LiInGeO4,4.62,2,3.0
mp-22983,LiAlCl4,9.66,2,6.0
mp-18351,Sr3(GeP2)2,2.05,2,1.0
mp-16861,Na5GeAs3,1.71,2,1.0
mp-8042,ZrGeO4,6.55,2,4.0
mp-3762,VCu3S4,1.82,2,1.0
mp-6870,KBe2BO3F2,11.0,2,7.0
mp-22255,RbInTe2,2.21,2,1.0
mp-29027,TaI2O,1.72,2,1.0
mp-3370,Y2Sn2O7,5.12,2,3.0
mp-676,CaN6,5.6,2,3.0
mp-18447,K3Na2SnAs3,2.02,2,1.0
mp-10288,LaCuTeS,1.16,2,0.0
mp-4624,TaBO4,5.48,2,3.0
mp-22909,ZnCl2,6.86,2,4.0
mp-3700,LiYF4,13.4,2,7.0
mp-5920,LiAlGe,0.387,2,0.0
mp-7219,Na2ZrSe3,2.74,2,1.0
mp-9781,K3SbS4,4.19,2,2.0
mp-17245,Na3TaF8,7.81,2,5.0
mp-7084,SrCaSi,1.29,2,0.0
mp-505815,CsLa2CuSe4,2.42,2,1.0
mp-7426,Ba(ZnP)2,0.344,2,0.0
mp-2632,TlF3,3.62,2,2.0
mp-30847,TiSnPt,1.19,2,0.0
mp-3395,SrSeO3,6.0,2,4.0
mp-5621,NbCu3S4,2.85,2,1.0
mp-5416,Na2SeO3,6.8,2,4.0
mp-18327,Ba2Tl2O5,1.29,2,0.0
mp-8978,CsNbN2,2.83,2,1.0
mp-7801,CaGeN2,4.59,2,3.0
mp-20805,PdPbF4,1.96,2,1.0
mp-6368,CsSO2F,7.15,2,5.0
mp-28070,Rb2TeI6,2.79,2,1.0
mp-22899,LiI,7.0,2,5.0
mp-29883,Rb3PbCl5,7.05,2,5.0
mp-3668,CdGeP2,1.31,2,0.0
mp-22896,LaCl3,7.58,2,5.0
mp-17989,K3PS4,5.2,2,3.0
mp-4274,SrTeO4,4.75,2,3.0
mp-2542,BeO,11.1,2,7.0
mp-18373,ZnSe2O5,4.85,2,3.0
mp-5652,Y2Si2O7,8.68,2,6.0
mp-17892,Ca2VN3,2.83,2,1.0
mp-13055,Ba2LaTaO6,6.11,2,4.0
mp-23442,KCdCl3,6.12,2,4.0
mp-23084,BiPbClO2,3.84,2,2.0
mp-1958,SrTe,3.55,2,2.0
mp-15803,Y2MgSe4,3.14,2,2.0
mp-22964,PbClF,6.16,2,4.0
mp-5387,YNbO4,5.63,2,4.0
mp-22930,Rb4CdCl6,6.96,2,4.0
mp-7387,KAgF4,3.14,2,2.0
mp-9486,K2AlF5,12.9,2,7.0
mp-8016,AlCuSe2,2.36,2,1.0
mp-542200,CdAg4Ge2S7,1.72,2,1.0
mp-25113,VInO4,4.42,2,3.0
mp-9692,K2GeSe3,3.26,2,2.0
mp-23281,SbI3,3.47,2,2.0
mp-17501,Ba(ScTe2)2,1.27,2,0.0
mp-23238,Ta3I7,1.3,2,0.0
mp-17288,Li2ZnSiO4,6.75,2,4.0
mp-1602,SiS2,5.45,2,3.0
mp-552537,Sr2CuBrO2,5.58,2,3.0
mp-15214,K2NbAgS4,3.5,2,2.0
mp-17228,K2Ni3S4,1.64,2,1.0
mp-23230,PCl3,6.55,2,4.0
mp-23120,Cs2NaYCl6,8.76,2,6.0
mp-19014,Sr2CdWO6,4.78,2,3.0
mp-10337,BaYAgTe3,1.89,2,1.0
mp-23392,K4CdCl6,6.92,2,4.0
mp-27397,IrBr3,2.61,2,1.0
mp-9318,KZrCuSe3,1.09,2,0.0
mp-8076,Na3SbO3,5.28,2,3.0
mp-27810,Ba(GeAs)2,0.664,2,0.0
mp-5132,YPO4,9.75,2,7.0
mp-5431,BaTeO3,4.56,2,3.0
mp-4030,Rb2Pt3S4,2.63,2,1.0
mp-31275,Ba(TeP2)2,2.05,2,1.0
mp-28315,Rb4CdBr6,5.69,2,4.0
mp-22862,NaCl,9.6,2,6.0
mp-18480,Na3Ca2TaO6,7.0,2,5.0
mp-18329,CsMgPO4,8.52,2,6.0
mp-542772,CsAgCl2,4.64,2,3.0
mp-10795,TaTlS3,1.12,2,0.0
mp-29274,P2PdO6,3.2,2,2.0
mp-541832,Ba2SnS4,3.67,2,2.0
mp-31486,K2SnBi,1.23,2,0.0
mp-11152,SiSbPt,0.664,2,0.0
mp-13903,ZnSnF6,7.24,2,5.0
mp-29432,NaScCl4,6.64,2,4.0
mp-18168,TlZnPO4,6.65,2,4.0
mp-19893,PbCO3,6.09,2,4.0
mp-9397,HfTlCuSe3,1.27,2,0.0
mp-15649,As2Ir,1.15,2,0.0
mp-1550,AlP,2.87,2,2.0
mp-3123,PPdSe,1.92,2,1.0
mp-28268,PtI3,1.01,2,0.0
mp-28324,Sr3(InP2)2,1.51,2,1.0
mp-5858,CdPtF6,3.7,2,2.0
mp-30293,Sr2GeSe4,3.09,2,2.0
mp-27724,BPS4,4.19,2,2.0
mp-15777,Zn(GaTe2)2,1.7,2,1.0
mp-7931,SrP,1.52,2,1.0
mp-19734,MgPbF6,6.16,2,4.0
mp-7385,K2Be2PbF8,9.19,2,6.0
mp-31454,TaSbRu,1.48,2,0.0
mp-8253,Na5ReO6,4.05,2,2.0
mp-27171,Hg2P2S7,3.22,2,2.0
mp-1536,KSb,1.82,2,1.0
mp-552234,SrBiBrO2,5.51,2,3.0
mp-1683,ZrSe3,1.17,2,0.0
mp-19363,HgMoO4,3.42,2,2.0
mp-10969,CdCN2,4.16,2,2.0
mp-28232,MgTi2O5,4.89,2,3.0
mp-22356,In2HgS4,1.3,2,0.0
mp-16992,NaAg3S2,2.31,2,1.0
mp-14288,Sr3P4,1.87,2,1.0
mp-23154,Br,2.68,2,1.0
mp-4917,LaAsO4,7.26,2,5.0
mp-341,PbF4,4.48,2,3.0
mp-23260,BaI2,6.06,2,4.0
mp-8943,PtF4,2.48,2,1.0
mp-540957,Cs2TeI6,2.62,2,1.0
mp-23504,Sr2InI5,5.01,2,3.0
mp-9784,BaBAsO5,6.59,2,4.0
mp-23137,Ba2YBiO6,3.83,2,2.0
mp-11020,GaAgO2,1.47,2,0.0
mp-2920,LaAlO3,7.08,2,5.0
mp-18220,LiAlSiO4,8.89,2,6.0
mp-17986,TiTl2O3,4.06,2,2.0
mp-542885,SrCrO4,3.83,2,2.0
mp-8177,HgF2,3.22,2,2.0
mp-28591,Na4HgP2,2.49,2,1.0
mp-18247,Sr3ScRhO6,3.65,2,2.0
mp-23231,AgBr,1.9,2,1.0
mp-2452,P2O5,8.95,2,6.0
mp-19687,RbLa(MoO4)2,5.54,2,3.0
mp-10814,SrLiBO3,8.13,2,5.0
mp-23228,PCl5,3.73,2,2.0
mp-542888,La3AgSnS7,3.49,2,2.0
mp-14354,Rb2SrP2O7,8.9,2,6.0
mp-30139,BeBr2,9.05,2,6.0
mp-542826,Sc2PbSe4,2.59,2,1.0
mp-267,Te2Ru,0.477,2,0.0
mp-6134,LiCaAlF6,13.6,2,7.0
mp-4841,LaCuS2,2.41,2,1.0
mp-27257,PBr3,5.48,2,3.0
mp-29138,KAuSe2,1.79,2,1.0
mp-11123,CsYHgSe3,2.6,2,1.0
mp-22989,NaIO3,5.98,2,4.0
mp-19,Te,0.756,2,0.0
mp-27362,Nb(SCl)2,2.56,2,1.0
mp-17926,Zr3Ni3Sb4,0.6000000000000001,2,0.0
mp-12240,Na2LiBe2F7,13.5,2,7.0
mp-28859,K2HgS2,4.49,2,3.0
mp-11585,La2MgGeO6,7.17,2,5.0
mp-2172,AlAs,2.65,2,1.0
mp-18365,RbCuSe4,2.23,2,1.0
mp-22925,AgI,2.54,2,1.0
mp-23341,Bi2Pt2O7,1.36,2,0.0
mp-8194,Ba2GeP2,1.2,2,0.0
mp-7787,HfSO,4.82,2,3.0
mp-23657,Na6S2ClO8F,9.49,2,6.0
mp-9655,Na4SnO4,5.36,2,3.0
mp-3056,NaTlO2,2.18,2,1.0
mp-4979,AlCuS2,3.8,2,2.0
mp-28845,OsO3F2,3.69,2,2.0
mp-7374,Ba(CuO)2,3.45,2,2.0
mp-30373,RbAu,2.87,2,2.0
mp-541190,Cs2LiVO4,5.5,2,3.0
mp-2136,Sb2O3,3.82,2,2.0
mp-7971,Ba4Li(SbO4)3,3.7,2,2.0
mp-28683,Ta(ICl)2,2.04,2,1.0
mp-29380,K2Te2As,2.02,2,1.0
mp-2809,Sb2S3,2.36,2,1.0
mp-7929,Rb2PtS2,2.45,2,1.0
mp-29628,Na4SnS4,4.36,2,3.0
mp-6949,InF3,7.74,2,5.0
mp-28407,SBr2O,4.65,2,3.0
mp-27449,GaTeCl,3.36,2,2.0
mp-7631,SiC,3.44,2,2.0
