mpid,formula,BG,fidelity
mp-677406,CuH12N2(Cl2O)2,0.5761000000000001,0
mp-685403,Tl3(V3S4)8,0.0,0
mp-977586,MgSc2In,0.0,0
mp-7817,YB12,0.0,0
mp-769349,BaTa6O16,2.1822,0
mp-776708,LiV4O5F7,1.2840999999999991,0
mp-754268,Li3Cu4TeO8,0.0,0
mp-765916,Ti2CoO5,1.7405,0
mp-13854,B3Ru2,0.0,0
mp-555700,SiO2,5.484,0
mp-766006,In15SnO24,0.0,0
mp-561476,PH8C2SNO2,4.5667,0
mp-762265,Li3V5O10,1.1776,0
mp-568696,SiC,1.8149,0
mp-767784,LiVSiO4,2.778399999999999,0
mp-8222,AgO,0.0,0
mp-1029421,Te2Mo(WSe2)3,0.0,0
mp-695536,LaH6S3(NO3)3,4.2155,0
mp-652180,AuC5(SCl)4,0.0706,0
mp-3867,Pr2Co7B3,0.0,0
mp-25513,KCrH18N6(ClO2)4,3.819,0
mp-761503,Li2Cr4Si4O13,1.4543,0
mp-567818,Sm(NiAs)2,0.0,0
mp-555743,LiZnPO4,4.1939,0
mp-704544,ThV2O7,2.6022,0
mp-22766,CaIn2O4,1.9991,0
mp-863880,Li6VFe5O12,1.1956,0
mp-559513,K2NClO3,4.0449,0
mp-1270,Dy2S3,0.593799999999999,0
mp-11872,Ag2O3,0.0,0
mp-4770,Na2SO4,4.9811,0
mp-763985,Cr4OF11,0.7937000000000001,0
mp-767706,LiV2F7,2.0983,0
mp-9149,Er3P4Pd7,0.0,0
mp-504466,Ag2WO4,2.0499,0
mp-1895,TaO,0.0,0
mp-30106,AsCl5,1.4376,0
mp-754011,Li(BiO2)3,0.0,0
mp-863740,Pm2IrRu,0.0,0
mp-772497,Er4(B2O5)3,5.580500000000001,0
mp-5977,Nd2Zr2O7,3.3252,0
mp-2784,Na2Te,2.0282,0
mp-27895,ErNiB4,0.0,0
mp-4384,Nb2CS2,0.0,0
mp-1877,HoAl3,0.0,0
mp-770207,Li3Fe2P2(CO7)2,0.0138,0
mp-982662,Eu2MgSi2O7,0.0118,0
mp-996992,LiAgO2,0.468699999999999,0
mp-780036,Mn4O7F,0.0,0
mp-31609,Li3Co3(PO4)4,0.846399999999999,0
mp-29806,Cs2PdI6,0.581499999999999,0
mp-765440,LiV2F5,2.2369,0
mp-766561,LiNd14(Cu3O14)2,0.0,0
mp-677422,Ca2Ga2Si(HO4)2,3.5092,0
mp-20958,Ba2LaReO6,0.0,0
mp-567027,Y2(MoO4)3,3.5530999999999993,0
mp-16730,MoN,0.0,0
mp-696582,BaSO2,1.513,0
mp-505603,Pb5SO8,2.4636,0
mp-703516,K2TiH2O3F4,2.5149,0
mp-642646,BaP2(HO)4,5.2848,0
mp-572741,CsUP3O11,2.344,0
mp-28111,K3NO3,0.201799999999999,0
mp-582618,Eu2C(NCl)2,0.9358999999999992,0
mp-601348,LuP2H4NO7,4.9841,0
mp-1755,ZnAu3,0.0,0
mp-674477,MgZr4O9,3.7198,0
mp-28068,LiDy2Cl5,0.1485,0
mp-763714,LiVP2(HO4)2,1.941799999999999,0
mp-531006,CsB9O13,3.1242,0
mp-765765,Li2V2F7,0.213999999999999,0
mp-5166,Ca(AsPd)2,0.0,0
mp-17886,K2Al2Sb3,0.9634,0
mp-510198,IrPb,0.0,0
mp-849656,Li5Co4(Si3O10)2,0.175799999999999,0
mp-761136,NaTi8O16,0.0,0
mp-5620,TmB2Ru3,0.0,0
mp-762904,LiCoSiO4,1.229299999999999,0
mp-1007778,TlN,0.0,0
mp-694958,Na2Li5Al7Si29O72,3.239999999999999,0
mp-565320,V8O15,0.6443999999999991,0
mp-850410,Li2Mn3(BO3)3,0.6674000000000001,0
mp-30526,Mn4Al19,0.0,0
mp-643273,NaH2Pd3,0.0,0
mp-617170,Fe(CO)5,3.4908,0
mp-560188,Ba4NaAuO8,1.396199999999999,0
mp-36480,La2CuO4,0.0,0
mp-545479,B4CCl6O,4.0675,0
mp-7806,Cr3P,0.0,0
mp-865861,LuMgAu2,0.0,0
mp-3524,LiPN2,3.801599999999999,0
mp-557177,Li2Al(BO2)5,5.6317,0
mp-567681,CsPbBr3,2.8808,0
mp-707440,Sr2Mg3H10,2.8642,0
mp-998883,Ge,0.0,0
mp-30856,ZnPt3,0.0,0
mp-771248,Na2Ge2O5,2.9897,0
mp-10351,Tm3GaC,0.0,0
mp-9249,NaGeAu,0.0,0
mp-560105,K3Ho(SiO3)3,3.7625,0
mp-771389,Li2V3BiO8,0.9152999999999992,0
mp-768996,NaBiAsCO7,0.0,0
mp-771568,SrCa2I6,3.7101,0
mp-25059,NaMoP2O7,3.9664,0
mp-752705,Ti(PO3)4,2.3564,0
mp-7547,BaSe2,0.5995,0
mp-768453,Lu2(SO4)3,5.9635,0
mp-31105,RbBi,0.3777,0
mp-763344,LiV3O8,1.1302,0
mp-3771,MgTiO3,3.529499999999999,0
mp-566060,Pr3W(ClO2)3,3.5179,0
mp-776726,LiV2F7,1.7058,0
mp-643001,Na4H6Ru,2.0361,0
mp-754369,Na4MgO3,1.4967,0
mp-721144,Na4P2H20O17,3.0882,0
mp-773256,Mn4FeO8,0.0,0
mp-421,DyNi2,0.0,0
mp-19518,BaCr(Si2O5)2,3.2289,0
mp-978089,Pr2IrAu,0.0,0
mp-973940,LiCd3,0.0,0
mp-26725,LiSnPO4,2.5567,0
mp-754833,Hf2N2O,1.066599999999999,0
mp-685941,In4SbTe3,0.0,0
mp-10245,Hf3(CuSi)4,0.0,0
mp-555121,MgAs2S2(OF3)4,3.5807,0
mp-2837,PrCo5,0.0,0
mp-740732,UP3H10BrO8,0.3799,0
mp-743915,VPH6C2N3O7,1.7746,0
mp-20108,CaIn4Pd,0.0,0
mp-995214,H6PbCI3N,1.7627,0
mp-6200,Ba2NdRuO6,0.1532,0
mp-775910,ZrO2,3.316599999999999,0
mp-11879,BaNiSn3,0.0,0
mp-559407,NaGdH2S2O9,2.9139,0
mp-763433,Li2MnF4,3.743699999999999,0
mp-559593,PS3N5F2,2.5324,0
mp-763939,VOF,0.9899999999999992,0
mp-30368,Ca5Au3,0.0,0
mp-761378,Li5Mn2Fe3(PO4)6,2.170099999999999,0
mp-542554,Cu3As4H18C8I3(NO2)2,2.778,0
mp-30148,BC2N,2.099400000000001,0
mp-25766,Mn4Be3Ge3SeO12,2.2723,0
mp-686268,Cu2H4C4N3O,0.0,0
mp-561246,Al2Si2Pb2O9,2.7575,0
mp-21052,Tb2InPd2,0.0,0
mp-18781,CrCdO4,2.2881,0
mp-10423,KAuC2,2.0269,0
mp-32373,Li2Ni3(P2O7)2,4.0405,0
mp-554255,Ba3(PS4)2,2.1538,0
mp-15888,Ba2YIrO6,0.0,0
mp-18994,CsMnO4,2.2208,0
mp-568927,AgI,0.9588999999999992,0
mp-9130,CrSbS3,0.5817999999999991,0
mp-505061,LaCu(WO4)2,1.4321,0
mp-601285,MnGaNi2,0.0,0
mp-775342,LiVFeO4,2.2008,0
mp-684027,Mg3(MnAl9)2,0.0,0
mp-769801,Li2AlCoO4,1.6912,0
mp-673837,Ba8Bi4O17,0.7450000000000001,0
mp-22407,BaCu2Si2O7,0.0,0
mp-705752,Fe2NiO4,1.277499999999999,0
mp-566296,SnS8(N2Cl)4,1.597799999999999,0
mp-974387,Nd2AgHg,0.0,0
mp-25737,BaInCo4O7,0.0,0
mp-13875,Al8(Pb3O7)3,2.8716,0
mp-764764,Li7Mn5O12,0.6299,0
mp-22453,YbGePt,0.0,0
mp-18468,Mn5SiC,0.0,0
mp-984755,Nb4Ag2O11,2.372299999999999,0
mp-28497,Cs2CrCl4,0.0,0
mp-860963,Ag2H4(SO4)3,2.8882,0
mp-645708,Co5Se4(ClO6)2,2.4701,0
mp-866073,MgSnRh2,0.0,0
mp-24896,Ba5Co5O14,0.0,0
mp-567794,ZnH16C4(Br2N)2,4.0687,0
mp-867159,SmDyMg2,0.0,0
mp-39823,Na8Al6Si6CO27,3.2507,0
mp-757685,Li2Cu(SiO3)2,0.087199999999999,0
mp-761997,Li2CrNi(PO4)2,1.7405,0
mp-763229,VOF,0.942099999999999,0
mp-28800,K2Bi8Se13,0.8140000000000001,0
mp-684525,Cu2Se,0.0,0
mp-5700,Sr2Cu3O5,0.0,0
mp-780548,Li3Mn3(PO4)4,1.133099999999999,0
mp-27227,LiAg3O2,0.727799999999999,0
mp-1001117,Mn3N2,0.0,0
mp-585256,Co(PO3)4,0.4695,0
mp-28912,MnInBr3,1.6239,0
mp-770639,Y2W2O9,3.4602,0
mp-983228,SrEu2Al2O7,0.0,0
mp-24810,NaBH4,6.2163,0
mp-624307,Cu7Te4,0.0,0
mp-28414,Nd2GeO5,2.4351,0
mp-770741,Mg3(AsO4)2,2.6418,0
mp-505707,Tb2Mo4O15,3.3306,0
mp-9167,SrCN2,3.6025,0
mp-556539,BaSb2Xe5F22,2.5318,0
mp-9062,RbS,1.5613,0
mp-645592,Nb3(BiO3)5,1.267199999999999,0
mp-554696,La2Mo4O15,3.237699999999999,0
mp-11342,GaSe,1.2233,0
mp-777444,Li3Fe2F7,3.4986,0
mp-779316,VOF,0.8796,0
mp-767896,Li2SiNiO4,3.111399999999999,0
mp-531071,NaTa4O8,0.0,0
mp-567504,CrCl3,1.5182,0
mp-720111,Na4Al3Si3ClO16,0.3044,0
mp-851120,KNa2Li3Zr2(Si2O5)6,0.0,0
mp-28647,AsBr5F6,1.620299999999999,0
mp-761519,Li4VFe(WO6)2,1.1553,0
mp-753197,HfTiO4,2.8259,0
mp-696497,Mg3Si4(HO6)2,5.1766,0
mp-764999,Li2(CoO2)3,0.0,0
mp-557311,Sr2GeO4,3.566,0
mp-773515,Te3WO12,1.5961,0
mp-976229,KAgO3,0.0,0
mp-1018781,Li3SmSb2,0.0,0
mp-775657,Li4Ti2Co3Sn3O16,0.7030000000000001,0
mp-23643,Cd5P3ClO12,2.160599999999999,0
mp-643243,Cs2H6Pt,3.9085,0
mp-570680,Er(GeRh)2,0.0,0
mp-11615,TmMnGe,0.0,0
mp-765128,Li2Co(CO3)2,2.0688,0
mp-762953,LiFe2OF5,1.9765,0
mp-624406,CdI2,2.3339,0
mp-974365,RuAu3,0.0,0
mp-32715,B36O5,2.3416,0
mp-776047,Mn3Cr2Ni(PO4)6,0.0209,0
mp-757176,BaYF5,6.4944,0
mp-976447,NaCrH8(NF3)2,3.9976,0
mp-705334,Li2V(PO3)5,2.1267,0
mp-22801,LuSiRh,0.0,0
mp-976311,HoErRu2,0.0,0
mp-779428,Sr4HfO6,3.7468,0
mp-771342,Gd2P4O13,2.9666,0
mp-23166,NpBr3,0.0068,0
mp-556903,HgSb4C2(OF11)2,4.298,0
mp-28224,Hg2AsCl2,1.303899999999999,0
mp-11080,YbMgAu,0.0,0
mp-771546,Mn(IO3)2,2.6778,0
mp-759405,Bi3O2F5,3.284999999999999,0
mp-685615,Na11N7O16,0.0,0
mp-10816,NdAgAs2,0.0,0
mp-558193,K2Cu3(AsO3)4,0.1322,0
mp-770681,LiCr10O15,0.2035,0
mp-867848,LaMgCd2,0.0,0
mp-770148,Li3VB4O9,2.7324,0
mp-559144,GePb3O5,2.2715,0
mp-42054,BaLaTaZnO6,2.5384,0
mp-542115,Hg3Se3O10,1.9291,0
mp-28568,Rb3CuO2,1.4327,0
mp-4564,Ba4Nb14O23,0.0,0
mp-770517,Li9Al(NiO4)2,2.8286,0
mp-780448,Ho2Sb2O7,1.831799999999999,0
mp-766936,LiVF6,3.2555,0
mp-706979,PH6N3O,4.6727,0
mp-760489,PH6NO2,5.0661,0
mp-849086,CuS2,0.0,0
mp-1018102,ZrPd2,0.0,0
mp-680384,Sr10Ga6O19,3.0095,0
mp-679971,TiSi4(NCl7)2,2.522,0
mp-600347,H2Os3(CO)10,1.732,0
mp-6855,K2NaAg3(CN)6,2.726099999999999,0
mp-771675,Li2MnVO4,0.0,0
mp-767559,LiMn2(PO5)2,0.0504,0
mp-707014,P2H10S4N2O,2.5304,0
mp-1030120,Te4MoW3Se4,0.255699999999999,0
mp-761955,Li6TiFe3(PO4)6,1.3799,0
mp-973464,LaEr3,0.0,0
mp-555146,KCS2N(O2F)2,4.4578,0
mp-558689,Ba2PrIrO6,0.0,0
mp-753541,LiCuF4,1.0145,0
mp-557441,KAu(IO3)4,2.1081,0
